category name,category_link
Household Cleaning,https://www.jumia.co.ke/household-cleaning/
Household Supplies,https://www.jumia.co.ke/household-supplies/
Laundry,https://www.jumia.co.ke/laundry-supplies/
Lighters & Matches,https://www.jumia.co.ke/grocery-mathces-fire-lighters/
Paper & Plastic,https://www.jumia.co.ke/paper-plastic-household-supplies/
Tobacco-Related Products,https://www.jumia.co.ke/tobacco-related-products/
"Bundles, Hampers & Gifts",https://www.jumia.co.ke/bundles-hampers-gifts/
Health & Beauty,https://www.jumia.co.ke/health-beauty/
Health & Beauty,https://www.jumia.co.ke/health-beauty/
Beauty & Personal Care,https://www.jumia.co.ke/beauty-styling-products/
Health Care,https://www.jumia.co.ke/health-care/
Kid's Beauty,https://www.jumia.co.ke/kids-beauty/
Medical Supplies & Equipment,https://www.jumia.co.ke/medical-supplies-equipment/
Oral Care,https://www.jumia.co.ke/oral-care/
Sexual Wellness,https://www.jumia.co.ke/fertility-sexual-wellness/
Sports Nutrition,https://www.jumia.co.ke/sports-nutrition/
Vitamins & Dietary Supplements,https://www.jumia.co.ke/vitamins-dietary-supplements/
Wellness & Relaxation,https://www.jumia.co.ke/wellness-relaxation/
Health & Beauty,https://www.jumia.co.ke/health-beauty/
Beauty & Personal Care,https://www.jumia.co.ke/beauty-styling-products/
Health Care,https://www.jumia.co.ke/health-care/
Kid's Beauty,https://www.jumia.co.ke/kids-beauty/
Medical Supplies & Equipment,https://www.jumia.co.ke/medical-supplies-equipment/
Oral Care,https://www.jumia.co.ke/oral-care/
Sexual Wellness,https://www.jumia.co.ke/fertility-sexual-wellness/
Sports Nutrition,https://www.jumia.co.ke/sports-nutrition/
Vitamins & Dietary Supplements,https://www.jumia.co.ke/vitamins-dietary-supplements/
Wellness & Relaxation,https://www.jumia.co.ke/wellness-relaxation/
Health & Beauty,https://www.jumia.co.ke/health-beauty/
Beauty & Personal Care,https://www.jumia.co.ke/beauty-styling-products/
Health Care,https://www.jumia.co.ke/health-care/
Kid's Beauty,https://www.jumia.co.ke/kids-beauty/
Medical Supplies & Equipment,https://www.jumia.co.ke/medical-supplies-equipment/
Oral Care,https://www.jumia.co.ke/oral-care/
Sexual Wellness,https://www.jumia.co.ke/fertility-sexual-wellness/
Sports Nutrition,https://www.jumia.co.ke/sports-nutrition/
Vitamins & Dietary Supplements,https://www.jumia.co.ke/vitamins-dietary-supplements/
Wellness & Relaxation,https://www.jumia.co.ke/wellness-relaxation/
Health & Beauty,https://www.jumia.co.ke/health-beauty/
Beauty & Personal Care,https://www.jumia.co.ke/beauty-styling-products/
Health Care,https://www.jumia.co.ke/health-care/
Kid's Beauty,https://www.jumia.co.ke/kids-beauty/
Medical Supplies & Equipment,https://www.jumia.co.ke/medical-supplies-equipment/
Oral Care,https://www.jumia.co.ke/oral-care/
Sexual Wellness,https://www.jumia.co.ke/fertility-sexual-wellness/
Sports Nutrition,https://www.jumia.co.ke/sports-nutrition/
Vitamins & Dietary Supplements,https://www.jumia.co.ke/vitamins-dietary-supplements/
Wellness & Relaxation,https://www.jumia.co.ke/wellness-relaxation/
Health & Beauty,https://www.jumia.co.ke/health-beauty/
Beauty & Personal Care,https://www.jumia.co.ke/beauty-styling-products/
Health Care,https://www.jumia.co.ke/health-care/
Kid's Beauty,https://www.jumia.co.ke/kids-beauty/
Medical Supplies & Equipment,https://www.jumia.co.ke/medical-supplies-equipment/
Oral Care,https://www.jumia.co.ke/oral-care/
Sexual Wellness,https://www.jumia.co.ke/fertility-sexual-wellness/
Sports Nutrition,https://www.jumia.co.ke/sports-nutrition/
Vitamins & Dietary Supplements,https://www.jumia.co.ke/vitamins-dietary-supplements/
Wellness & Relaxation,https://www.jumia.co.ke/wellness-relaxation/
Health & Beauty,https://www.jumia.co.ke/health-beauty/
Beauty & Personal Care,https://www.jumia.co.ke/beauty-styling-products/
Health Care,https://www.jumia.co.ke/health-care/
Kid's Beauty,https://www.jumia.co.ke/kids-beauty/
Medical Supplies & Equipment,https://www.jumia.co.ke/medical-supplies-equipment/
Oral Care,https://www.jumia.co.ke/oral-care/
Sexual Wellness,https://www.jumia.co.ke/fertility-sexual-wellness/
Sports Nutrition,https://www.jumia.co.ke/sports-nutrition/
Vitamins & Dietary Supplements,https://www.jumia.co.ke/vitamins-dietary-supplements/
Wellness & Relaxation,https://www.jumia.co.ke/wellness-relaxation/
Health & Beauty,https://www.jumia.co.ke/health-beauty/
Beauty & Personal Care,https://www.jumia.co.ke/beauty-styling-products/
Health Care,https://www.jumia.co.ke/health-care/
Kid's Beauty,https://www.jumia.co.ke/kids-beauty/
Medical Supplies & Equipment,https://www.jumia.co.ke/medical-supplies-equipment/
